date,lambda_t,u_t,mkt_vol,rtA3Y
196301.0,0.4721315780049404,-0.031963,0.005446155094943756,0.5474917777930652
196302.0,0.4621951004692523,-0.034483,0.004233712822471299,0.5685507373985996
196303.0,0.4845342893791877,-0.031807199999999994,0.003826129406867368,0.486791242975001
196304.0,0.4876249290197356,-0.032787,0.0035779021187601783,0.4547087487450543
196305.0,0.4766288797724093,-0.03125,0.003291731162390779,0.35118857831960093
196306.0,0.4551833497656299,-0.032967,0.003360624168216375,0.36180164949751714
196307.0,0.4489112239878751,-0.032102799999999994,0.004581519542486075,0.3465873527531613
196308.0,0.4873550209348509,-0.03125,0.0036812053300268625,0.18275838276615386
196309.0,0.4447130242553464,-0.035211,0.003846341105518334,0.18867156420983555
196310.0,0.44842144478831625,-0.034091,0.004202467148049439,0.2055420794102274
196311.0,0.481863894184387,-0.043478,0.012865357761575592,0.23350306296959622
196312.0,0.4666853623899194,-0.037037,0.0033155851742368266,0.21475792399672056
196401.0,0.4506600678719585,-0.03623384999999999,0.0027730422987955108,0.2855030456878691
196402.0,0.4817658688854755,-0.032258,0.0019442846607699354,0.27758939578957187
196403.0,0.47916880904870707,-0.033333,0.0021621798194018395,0.3099146788601297
196404.0,0.4325778730895686,-0.036364,0.003304563153635233,0.35816186701149944
196405.0,0.4400851417613844,-0.033898,0.0030787869445611203,0.28247667126106
196406.0,0.4617774897976994,-0.032258,0.004069022833332571,0.29741287255322146
196407.0,0.4646413708619775,-0.030303,0.002826174904514774,0.33438740592177973
196408.0,0.46611154109271785,-0.032258,0.004120683294008872,0.34111377199305437
196409.0,0.4687102532385554,-0.03125,0.0026510321978968333,0.34606707435331896
196410.0,0.4684244839557129,-0.031978799999999995,0.002828800902406273,0.29763172057282405
196411.0,0.46009207166560795,-0.033333,0.0031980861628891676,0.30385668925898046
196412.0,0.4586016751940842,-0.033708,0.0038322947137096946,0.34284027521477634
196501.0,0.4882710938096849,-0.028571,0.0027997622756227,0.24590432657127392
196502.0,0.44750063868065054,-0.03125,0.004221899335607139,0.1957066610271474
196503.0,0.4485631626274185,-0.030928,0.0022732948698348378,0.21361536528537095
196504.0,0.47754358366199173,-0.029412,0.002617644260817439,0.2846439853028462
196505.0,0.4326580195818887,-0.032,0.003795671179119709,0.3251464709605847
196506.0,0.36018709045659336,-0.04451089999999999,0.009267031095134073,0.41374980944778517
196507.0,0.42460590492953326,-0.03125,0.004830978748314535,0.35982275428272903
196508.0,0.438039832357648,-0.030303,0.0023012087633952887,0.34287778273744474
196509.0,0.4204837128946351,-0.033333,0.00361167898562955,0.3591466189234154
196510.0,0.4668202662210877,-0.032468,0.0029842736373960656,0.3324330166740359
196511.0,0.46321860442561036,-0.033333,0.0024315398002089134,0.4060720696888871
196512.0,0.4036190692478373,-0.037037,0.0036758719373775795,0.34028996292450286
196601.0,0.4138194603648318,-0.032258,0.002507912127267468,0.31535059704592583
196602.0,0.3825680397611726,-0.034483,0.003957624746180333,0.2556185633040289
196603.0,0.32609936196401934,-0.039216,0.006569891806401843,0.3215724683325407
196604.0,0.38621620090251585,-0.035714,0.004066972916064232,0.31601453342336683
196605.0,0.31955210446167387,-0.050229399999999993,0.009862148319518952,0.39598975649875245
196606.0,0.35198812295403903,-0.035047,0.004831563943110308,0.31548869566094706
196607.0,0.3741124008596582,-0.034884,0.006846630908702469,0.24579030307662397
196608.0,0.3428909034443652,-0.05,0.011616819726810664,0.4167426894441588
196609.0,0.3591244644388369,-0.039888999999999994,0.008371238859787663,0.3944409925155383
196610.0,0.37618326466148,-0.04878,0.010650717713352647,0.4122920270251247
196611.0,0.3789748380383367,-0.03784825,0.006090027976126218,0.3433371723568859
196612.0,0.37641680402636835,-0.039801,0.005033137339293502,0.30877281760755904
196701.0,0.3911979069755397,-0.032258,0.005986036501726331,0.11733436535750674
196702.0,0.3618928534966418,-0.036585,0.00461086692955948,0.16791114044727373
196703.0,0.3545984946726728,-0.03511619999999999,0.004452368506557136,0.1140558880183129
196704.0,0.3617346082501303,-0.035714,0.006263869020022689,-0.04309030547547121
196705.0,0.350272069433647,-0.0386588,0.006035189957091808,-0.06804428059683709
196706.0,0.3766683758713571,-0.035714,0.007032568517586263,-0.1388043487300631
196707.0,0.3617431063119134,-0.033259,0.003437307994637664,-0.11830027666616338
196708.0,0.3412797116038412,-0.033613,0.003484079854822878,-0.06833080341649389
196709.0,0.35736095217500935,-0.032258,0.00403973689118487,-0.05639630446210919
196710.0,0.3181060939754513,-0.037736,0.00431188946666392,-0.0474460274206947
196711.0,0.3058643173627858,-0.04091709999999999,0.007126443811607582,-0.007236402558992161
196712.0,0.3246324858263024,-0.034014,0.0037318350713824422,0.018717422932998717
196801.0,0.2977585275277371,-0.038462,0.004828074329095683,0.11212593789797354
196802.0,0.3164145611138023,-0.043956,0.006914305429972512,0.1702849862637752
196803.0,0.3393186985458807,-0.042017,0.008592842553128572,0.21646336434334934
196804.0,0.34770660346682764,-0.033333,0.008815469360731736,0.14884871260893684
196805.0,0.32974646128411567,-0.033333,0.004104666795246601,0.07787455194691328
196806.0,0.2750952880399928,-0.04,0.00571127252226064,0.06891505879174309
196807.0,0.2828024259782962,-0.044118,0.007113983293072711,0.048958209075105064
196808.0,0.33206478034596004,-0.034483,0.004068985192895153,0.0741755668026769
196809.0,0.3155444454988859,-0.032258,0.003963680264008957,0.023297820832314686
196810.0,0.2871834859439212,-0.035398,0.003531490274028169,-0.02712873353273637
196811.0,0.3041310602184359,-0.030612,0.004390758925422401,-0.08205707606418722
